目标院校,学院,目标院校可申请专业,院校背景要求,专业背景要求,GPA要求 四分制或百分制,语言要求,实习实践（背景提升）要求,实习实践（背景提升）要求-中文,作品集要求
哥伦比亚大学Columbia University,Teacher's College教育学院,MA Art Administration艺术管理,无名单限制,无专业限制,官网无要求，建议达到3.7+,托福 100 雅思 7.0,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣，包括接受过的艺术培训或者志愿者活动,未强制要求作品集，设计背景学生提交作品集提升竞争力
哥伦比亚大学Columbia University,Art History&Archaeology艺术、历史与人类学,MA in Modern and Contemporary Art Critical and Curatorial Studies当代艺术批评与策展研究,无名单限制,无专业限制，艺术史或密切相关的研究，至少四门课程（例如考古学、建筑师、艺术史人类学，视觉研究，电影研究，媒体研究等）,官网无要求，建议达到3.5+,托福 100 雅思 7.5,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,写作样本10-15页
哥伦比亚大学Columbia University,School of the Arts艺术学院,MFA in Film 电影专业,无名单限制,接受跨专业,建议3.8+,"TOEFL 100, IELTS 7.5",无特殊要求，建议有相关的商业实习经验,无特殊要求，建议有相关的商业实习经验,· 命题剧本创作 · 10页内自创编剧作品 · 30分钟以内视频作品【可选交】 · 2分钟命题影视作品【可选交】
哥伦比亚大学Columbia University,Columbia University Schoolof Professional Studies专业研究生院,M.S. in Strategic Communication战略传播,无名单限制,接受跨专业,官网要求3.0，建议不低于3.5,TOEFL 100 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,命题文书+1分钟自我介绍视频
宾夕法尼亚大学University of Pennsylvania,School of Engineering and Applied Science工程与运用科学学院,MSE in Computer Graphics and Game Technology计算机图形学与游戏技术,无名单限制,1、计算机科学或工程本科背景，或者在四年大学有过至少两年的计算机科学和/或工程本科课程学习经历； 2、无相关背景申请者，入学后需要先完成1年的计算机和信息技术硕士（MCIT）课程，再进入本专业硕士课程学习,官网无要求，建议GPA不低于3.5,TOEFL 90（20) IELTS 7.0（6.5）,我们希望从您的简历中了解您的工作技能、专业经验的深度、您的领导经验等。,我们希望从您的简历中了解您的工作技能、专业经验的深度、您的领导经验等。,不限项目数
宾夕法尼亚大学University of Pennsylvania,Weitzman School of Design设计学院,MFA Fine Art纯艺术,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.7,TOEFL 100+ IELTS 7.0+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数量
宾夕法尼亚大学University of Pennsylvania,Stuart Weitzman School of Design设计学院,Master of Architecture建筑学,无名单限制,已经拥有建筑学学士学位或建筑硕士学位 有建筑学士学位2年 没有的3年,官网无明确要求，建议GPA高于3.5,TOEFL 100 (小分 25) IELTS 7.0 (小分 7) DET 135,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
宾夕法尼亚大学University of Pennsylvania,Stuart Weitzman School of Design设计学院,Advanced Architectural Design [MSD-AAD]高级建筑设计,无名单限制,已经拥有建筑学学士学位或建筑硕士学位 有建筑学士学位2年 没有的3年,官网无明确要求，建议GPA高于3.6,TOEFL 100 (小分 25) IELTS 7.0 (小分 7) DET 136,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
宾夕法尼亚大学University of Pennsylvania,Stuart Weitzman School of Design设计学院,Robotics and Autonomous Systems (MSD-RAS)机器人与自主系统,无名单限制,已经拥有建筑学学士学位或建筑硕士学位 有建筑学士学位2年 没有的3年,官网无明确要求，建议GPA高于3.7,TOEFL 100 (小分 25) IELTS 7.0 (小分 7) DET 137,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
宾夕法尼亚大学University of Pennsylvania,Stuart Weitzman School of Design设计学院,Master of Landscape Architecture景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA高于3.5,TOEFL 100 IELTS 7.0 PTE 68,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容； 其中一封推荐信必须来自Professional work的办公室,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容； 其中一封推荐信必须来自Professional work的办公室,不限项目数
宾夕法尼亚大学University of Pennsylvania,School of Engineering and Applied Science工程与应用科学学院,Master of Integrated Product Design综合产品设计,无名单限制,本科学习工程、商科或设计的学生可申请M:IPD；申请MSE:IPD(Master of Science in Engineering in Integrated Product Design)需要本科有工程背景,官网无要求，建议GPA不低于3.6,TOEFL 100 IELTS 7.5,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
杜克大学Duke University,Pratt School of Engineering工程学院,"MEng Game Design, Development & Innovation游戏，开发与创新",无名单限制,1、理科或工科背景，或者非理工科背景但有相关的技术工作经验； 2、至少一个学期的编程（任何语言）学习经历； 3、强烈建议在统计、线性代数等方面进行先修课程学习,学校招生平均成绩：3.6-3.9,TOEFL 102-109 IELTS 7-7.5,我们需要一份突出经验、活动和领导力的简历，无论是在课堂上、志愿者环境中、俱乐部或组织，还是在工作中。校园课程不需要工作经验，但目前的本科生可以专注于他们拥有的任何实习经验。,我们需要一份突出经验、活动和领导力的简历，无论是在课堂上、志愿者环境中、俱乐部或组织，还是在工作中。校园课程不需要工作经验，但目前的本科生可以专注于他们拥有的任何实习经验。,不限项目数
杜克大学Duke University,Institute for Enterprise Engineering企业工程研究院,Design & Technology Innovation Master of Engineering设计与技术创新,无名单限制,STEM / STEM 相关领域的本科学位 或者如果您的学位不在 STEM 领域，则需要至少1学期编程语言课，1学期的微积分课，1学期的物理或自然科学（物理、生物、化学或相关学科），实验室经验强烈优先;,官网建议GPA 3.6-3.9,建议TOEFL 105+,无特殊要求，但建议有交互设计实习实践经历； 如有工作经验，欢迎全部提交工作类推荐信,无特殊要求，但建议有交互设计实习实践经历； 如有工作经验，欢迎全部提交工作类推荐信,不限项目数
杜克大学Duke University,Trinity College of Arts & Sciences文理学院,MFA in Experimental & Documentary Arts实验/纪录片艺术,无名单限制,接受跨专业,3.0+【建议3.5+】,TOEFL90 IELTS7,无特殊要求，建议有相关的商业实习经验,无特殊要求，建议有相关的商业实习经验,25页以内材料展示
南加州大学University of Southern California,School of Cinematic Arts电影艺术学院,MFA Interactive Media & Games交互媒体与游戏,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.5,TOEFL 100（20） IELTS 7.0,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,不限项目数
南加州大学University of Southern California,School of Cinematic Arts电影艺术学院,MS Game Design and Development游戏与开发,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.6,TOEFL 100（20） IELTS 7.1,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,不限项目数
南加州大学University of Southern California,School of Cinematic Arts电影艺术学院,MFA Interactive Media交互媒体,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.7,TOEFL 100（20） IELTS 7.2,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,不限项目数
南加州大学University of Southern California,School of Cinematic Arts电影艺术学院,"MA Cinematic Arts (Media Arts, Games and Health)电影艺术（媒体艺术，游戏与健康）",无名单限制,接受跨专业,官网无要求，建议GPA不低于3.8,TOEFL 100（20） IELTS 7.3,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,需要两封推荐信，至少一封学术推荐信，和一封专业（实习实践）推荐信,不限项目数
南加州大学University of Southern California,School of Cinematic Arts电影艺术学院,MFA Animation and Digital Arts动画与数字艺术,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.5,TOEFL: 90 (20) IELTS: 6.5 (6),必须有一封实践推荐信,必须有一封实践推荐信,不限项目数
南加州大学University of Southern California,Roski School of Art & Design艺术与设计学院,MFA Art艺术,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.5,TOEFL 95 IELTS 6.5,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数量
南加州大学University of Southern California,Roski School of Art and Design艺术与设计,MFA Design设计,无名单限制,接受跨专业，但需要有设计行业相关实践经历；推荐设计/艺术/建筑相关专业,官网无要求，建议GPA不低于3.5,TOEFL 95 IELTS 6.5,详细说明您的就业、教育、课外学院和社区活动、荣誉、奖项、出版物、专业组织、旅行及您希望包含的其他相关信息，非艺术/设计/建筑专业背景需要有相关实践/从业经历,非艺术/设计/建筑专业背景需要有相关实践/从业经历,不限项目数
南加州大学University of Southern California,School of Architecture建筑学院,Master of Architecture: First-Professional建筑学,无名单限制,获得建筑学第一专业学位,官网无明确要求，建议GPA高于3.5,TOEFL 95（20） IELTS 6.5（6.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
南加州大学University of Southern California,School of Architecture建筑学院,Master of Advanced Architectural Research Studies高级建筑研究,无名单限制,获得建筑学第一专业学位,官网无明确要求，建议GPA高于3.6,TOEFL 95（20） IELTS 6.5（6.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
南加州大学University of Southern California,School of Architecture建筑学院,Master of Building Science 建筑科学,无名单限制,获得建筑学第一专业学位,官网无明确要求，建议GPA高于3.7,TOEFL 95（20） IELTS 6.5（6.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
南加州大学University of Southern California,USC School of Architecture建筑学院,Master of Landscape Architecture景观建筑,无名单限制,可跨专业申请,官网无明确要求，建议GPA高于3.5,TOEFL 95 (小分20) IELTS 6.5 (小分6.0),在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
南加州大学University of Southern California,USC School of Architecture建筑学院,Master of Landscape Architecture + Urbanism Dual degree景观建筑与城市化,无名单限制,可跨专业申请,官网无明确要求，建议GPA高于3.6,TOEFL 95 (小分20) IELTS 6.5 (小分6.0),在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
南加州大学University of Southern California,School for Communication and Journalism传媒与新闻学院,MS Digital Social Media数字社会媒体,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.5,TOEFL 90/20 (Re114) IELTS 6.5/6.0 (Re8.0),无特殊要求，建议有交互设计实习实践经历，简历上必须罗列所有实习工作相关经历,无特殊要求，建议有交互设计实习实践经历，简历上必须罗列所有实习工作相关经历,不限项目数
南加州大学University of Southern California,School of Art and Design艺术与设计学院,MA Curatorial Practices and the Public Sphere策展实践与公共领域,无名单限制,美术学士/文学士学位，专业设计、艺术、建筑或具有一定实践的相关领域（商业、传媒等）,官网无要求，建议达到3.5+,TOEFL 90(小分20） 建议IELTS 6.5(小分6） GRE 需要,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,写作样本两篇
南加州大学University of Southern California,Marshall School of Business商学院,MS Entrepreneurship and Innovation创业与创新,无名单限制,无专业限制,官网无要求，建议达到3.5+,托福 100（小分20） 雅思 7.0（小分6.0）,无特殊要求，最好有一至三年的工作经验,无特殊要求，最好有一至三年的工作经验,未强制要求作品集，设计背景学生提交作品集提升竞争力
南加州大学University of Southern California,USC School of Cinematic Arts电影艺术学院,"Master of Fine Arts degree in Cinematic Arts, Film & Television Production 电影艺术、影视制作专业",无名单限制,接受跨专业,3.0+【建议3.5+】,TOEFL100（20），IELTS7,无特殊要求，建议有相关的商业实习经验,无特殊要求，建议有相关的商业实习经验,命题写作剧本【400字】 2分钟命题短片 2-3分钟自我介绍视频
加州大学洛杉矶分校University of California Los Angeles,"School of Theater, Film & Television戏剧，电影与电视学院",MFA Animation动画,无名单限制,接受跨专业,要求GPA不低于3.0，建议GPA不低于3.5,TOEFL: 87（25，总分建议100） IELTS: 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数，但必须包含一个original storyboard
加州大学洛杉矶分校University of California Los Angeles,Department of Art Spaces艺术系,MFA Fine Art纯艺术,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.5,TOEFL 87+(W:25+ S:24+ R:21+ L:17+) IELTS 7.0+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数量
加州大学洛杉矶分校University of California Los Angeles,UCLA architecture and Urban Design建筑与城市设计学院,MArch Professional Degree建筑学,无名单限制,向拥有 NAAB 认可的五年制建筑学学士学位 (BArch)、建筑学研究生学位或国外同等学历的学生开放。,官网无明确要求，建议GPA高于3.5,TOEFL 95/20 IELTS 6.5/6.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
加州大学洛杉矶分校University of California Los Angeles,UCLA architecture and Urban Design建筑与城市设计学院,MS in Architecture and Urban Design (MSAUD)建筑与城市设计,无名单限制,向拥有 NAAB 认可的五年制建筑学学士学位 (BArch)、建筑学研究生学位或国外同等学历的学生开放。,官网无明确要求，建议GPA高于3.6,TOEFL 95/20 IELTS 6.5/6.1,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
加州大学洛杉矶分校University of California Los Angeles,UCLA architecture and Urban Design建筑与城市设计学院,M.A. in Architecture建筑学,无名单限制,向拥有 NAAB 认可的五年制建筑学学士学位 (BArch)、建筑学研究生学位或国外同等学历的学生开放。,官网无明确要求，建议GPA高于3.7,TOEFL 95/20 IELTS 6.5/6.2,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
加州大学洛杉矶分校University of California Los Angeles,School of the Arts and Architecture艺术与建筑学院,MFA Media Arts媒体艺术,无名单限制,接受跨专业，倾向媒体艺术相关专业背景学生 需具备软件、3D、动画、视频、交互媒体实操技能,官网要求GPA至少3.0，建议GPA不低于3.5,TOEFL 87 WSRL 25/24/21/17 IELTS 7.0,无特殊要求，但建议有交互设计实习实践经历,个人陈述中需要阐述相关实习/研究/艺术经验,不限项目数，不超过10个项目
加州大学洛杉矶分校University of California Los Angeles,School of the Arts and Architecture,MFA Photography摄影,无名单限制,无专业限制,官网无要求，建议达到3.5+,TOEFL 87+(W:25+ S:24+ R:21+ L:17+) IELTS 7.0+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,其他类型的媒体文件（视频/音频）最多4个
加州大学洛杉矶分校University of California Los Angeles,"Theater, Film & Television",MFA Design for Theater and Entertainment剧院与娱乐设计,无名单限制,无专业限制,官网无要求，建议达到3.7+,TOEFL 87 IELTS 7.0,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,不限制项目数量
加州大学洛杉矶分校University of California Los Angeles,"School of Theater, Film and Television戏剧，电影与电视学院","MFA Film, Television & Digital Media电影，电视与数字媒体",无名单限制,接受跨专业,建议3.5+,"TOEFL 87 (W25, S24, R21, L17) IELTS 7.0",无特殊要求，建议有相关的商业实习经验,无特殊要求，建议有相关的商业实习经验,10分钟以内影视作品【3页文字描述】
芝加哥大学University of Chicago,Forum for Digital Culture数字文化学院,"Master of Arts program in Digital Studies of Language, Culture, and History(2-Year MA in Media and Extended Reality)语言、文化和历史数字研究（媒体与扩展现实2年学位）",无名单限制,人文学科或相关学科（如语言学、历史学、人类学、社会学、传播学或美术）的学士学位。具有科学背景（包括计算机科学）的学生也鼓励他们申请,官网无要求，建议达到3.5+,官网无明确要求，建议100+,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,无作品集要求
芝加哥大学University of Chicago,Department of Visual Arts视觉艺术学院,Master of Fine Arts纯艺术,无名单限制,无专业限制,官网无要求，建议达到3.5+,TOEFL 90+ IELTS 7.0+（7.0）,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数量
西北大学Northwestern University,"Segal Design Institute, McCormick School of Engineering麦考密克工程学院与设计学院",M.S. in Engineering Design Innovation (EDI)工程设计创新,无名单限制,接受跨专业，倾向工程、技术专业学生,官网无要求，建议GPA不低于3.5,TOEFL 95 IELTS 7.0,无特殊要求，但建议有交互设计实习实践经历,无特殊要求，但建议有交互设计实习实践经历,不限项目数
西北大学Northwestern University,School of Communication,MS in Leadership for Creative Enterprises创意企业领导,无名单限制,无专业限制,官网无要求，建议达到3.5+,托福 100（口语26） 雅思 7.5（小分8.0）,无特殊要求，建议有相关实习经历,无特殊要求，建议有相关实习经历,未强制要求作品集，设计背景学生提交作品集提升竞争力
西北大学Northwestern University,School of Communication传媒学院,MFA in Stage Design舞台设计,无名单限制,接受跨专业,官网无明确要求，建议GPA接近于满绩,TOEFL 80 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,不限项目数
西北大学Northwestern University,Department of Theatre戏剧系,Master of Fine Arts in Directing导演,无名单限制,接受跨专业,建议3.5+,TOEFL80 IELTS7,2年以上导演工作经验,2年以上导演工作经验,不限项目数量
西北大学Northwestern University,"Medill School of Journalism, Media, Integrated Marketing Communications新闻，媒体，综合市场传媒学院",M.S. in Journalism新闻,不接受3年制本科,接受跨专业,官网要求3.0，建议不低于3.5,TOEFL 80 IELTS 7.0,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,3页写作样本
约翰霍普金斯大学Johns Hopkins University,Zanvyl Krieger School of Arts and Sciences文理学院,Master of Arts in Film and Media电影与媒体,无名单限制,接受跨专业,建议3.5+,TOEFL100，IELTS7,无特殊要求，建议有相关的商业实习经验,无特殊要求，建议有相关的商业实习经验,不限项目数量
约翰霍普金斯大学Johns Hopkins University,Zanvyl Krieger School of Arts and Sciences文理学院,M.A. in Communication传媒,无名单限制,接受跨专业,官网要求3.0，建议不低于3.5,TOEFL 100 IELTS 7.,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,在简历中罗列相关的实习经历、科研经历、出版物经历、个人荣誉、社区经历、领导力经历等内容,2个作品
纽约大学New York University,"Steinhardt School of Culture, Education, and Human Development文化，教育与人类发展学院","Media, Culture, and Communication (MA)媒体，文化与传媒",无名单限制,接受跨专业,官网要求3.0，建议不低于3.5,TOEFL 100 IELTS 7.0,无特殊要求,无特殊要求,无要求
纽约大学New York University,Tisch School of the Arts蒂什艺术学院,MFA Game Design游戏设计,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.5,TOEFL 100 IELTS 7.0,简历中列出您参与过的项目（与游戏相关或其他项目），以及所有相关工作经验。,简历中列出您参与过的项目（与游戏相关或其他项目），以及所有相关工作经验。,1-2个项目
纽约大学New York University,Steinhardt School of Culture史丹赫文化学院,MS Games for Learning教育游戏,无名单限制,接受跨专业,官网无要求，建议GPA不低于3.5,TOEFL 100 IELTS 7.0,简历中列出您参与过的项目（与游戏相关或其他项目），以及所有相关工作经验。,简历中列出您参与过的项目（与游戏相关或其他项目），以及所有相关工作经验。,1-2个项目
纽约大学New York University,Tisch School of the Arts蒂什艺术学院,MPS in Interactive Telecommunications交互通信 ,无名单限制,接受跨专业,要求GPA不低于3.0，建议GPA不低于3.5,TOEFL 100 IELTS 7.0,无特殊要求，但建议有实习实践经历,无特殊要求，但建议有实习实践经历,不限项目数
纽约大学New York University,Tisch School of the Arts蒂什艺术学院,MFA Studio Art艺术,无名单限制,接受跨专业,要求GPA不低于3.0，建议GPA不低于3.6,TOEFL 100 IELTS 7.1,无特殊要求，但建议有实习实践经历,无特殊要求，但建议有实习实践经历,不限项目数
纽约大学New York University,Tandon School of Engineering工程学院 ,MS Integrated Digital Media 综合数字媒体,无名单限制,接受跨专业,要求GPA不低于3.0，建议GPA不低于3.7,TOEFL 100 IELTS 7.2,无特殊要求，但建议有实习实践经历,无特殊要求，但建议有实习实践经历,不限项目数
纽约大学New York University,Tandon School of Engineering工程学院 ,MS Applied Urban Science and Informatics应用城市科学与信息学,无名单限制,接受跨专业,要求GPA不低于3.0，建议GPA不低于3.8,TOEFL 100 IELTS 7.3,无特殊要求，但建议有实习实践经历,无特殊要求，但建议有实习实践经历,不限项目数
纽约大学New York University,Steinhardt School of Culture史丹赫文化学院,MA in Learning Technology and Experience Design学习技术与体验设计,无名单限制,接受跨专业，但推荐有心理学/教育/设计/科技/传媒背景,要求GPA不低于3.0，建议GPA不低于3.5,TOEFL 100 IELTS 7.0,需要申请者有设计等相关背景，并且具有软件开发技能,需要申请者有设计等相关背景，并且具有软件开发技能,不强制要求作品集
纽约大学New York University,"Steinhardt School of Culture, Education, and Human Development文化，教育与人类开发",MA Visual Arts Administration视觉艺术管理,无名单限制,视觉艺术相关专业,官网要求3.0，建议达到3.7+,托福 100 雅思 7.0,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,未强制要求作品集，设计背景学生提交作品集提升竞争力
纽约大学New York University,School of Professional Studies专业研究学院,Masters (MS) in Integrated Marketing--Brand Management Concentration综合营销-品牌管理,无名单限制,无专业限制,官网无要求，建议达到3.5+,托福 100 雅思 7.0,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,未强制要求作品集，设计背景学生提交作品集提升竞争力
纽约大学New York University,Tisch School of the Arts蒂什艺术学院,MA Arts Politics艺术政治,无名单限制,无专业限制,官网无要求，建议达到3.5+,托福 100 雅思 7.0,简历中列出创意和学术背景、工作经验、创意作品、批判性写作、公民、活动家和社区参与、表演、装置、已出版作品等,简历中列出创意和学术背景、工作经验、创意作品、批判性写作、公民、活动家和社区参与、表演、装置、已出版作品等,写作样本1500-3000字
纽约大学New York University,Art and Science艺术与科学学院,MA Museum Studies博物馆学,无名单限制,无专业限制,官网无要求，建议达到3.5+,托福 100 雅思 7.0 建议提交GRE,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,一篇相关专业写作样本，不超过10页
纽约大学New York University,Tisch School of the Arts蒂什艺术学院,MFA Design for Stage and Film舞台和电影设计,无名单限制,无专业限制,官网无要求，建议达到3.5+,建议TOEFL100+ 雅思7,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,至少一个
纽约大学New York University,Steinhardt School of Culture史丹赫文化学院,MA in Costume Studies戏服设计,无名单限制,无专业限制,官网无要求，建议达到3.5+,TOEFL100， 雅思7,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,不限制项目数量
纽约大学New York University,Steinhardt School of Culture史丹赫文化学院,MA / MS Costume Studies / Library and Information Science Dual Degree戏服与图书馆信息科学 双学位,无名单限制,无专业限制,官网无要求，建议达到3.5+,TOEFL100 雅思7,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,在文书中展示对申请专业的相关背景、学术能力、实践经历及强烈兴趣,不限制项目数量
纽约大学New York University,Tisch School of the Arts蒂什艺术学院,Graduate Film 电影,无名单限制,接受跨专业,建议3.5+,"TOEFL 100, IELTS 7.0",无特殊要求，建议有相关的商业实习经验,无特殊要求，建议有相关的商业实习经验,·15分钟以内视频作品 or 10张以内图片 · 1-2分钟自我介绍视频 · 2页剧情故事写作 · 2页命题故事编写 · 1页概念剧本创意
